Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
170	SUCCESS	2	1	0.1	0.1	0.2
190	SUCCESS	2	1	0.1	0.1	0.2
60	SUCCESS	2	3	0.1	0.1	0.2
96	SUCCESS	2	3	0.1	0.1	0.2
191	SUCCESS	2	3	0.1	0.1	0.2
91	SUCCESS	2	5	0.1	0.1	0.2
205	SUCCESS	2	5	0.1	0.1	0.2
215	SUCCESS	2	5	0.1	0.1	0.2
119	SUCCESS	2	14	0.1	0.1	0.2
163	SUCCESS	2	1	0.21	0.1	0.31
63	SUCCESS	2	4	0.21	0.1	0.31
156	SUCCESS	2	5	0.21	0.1	0.31
192	SUCCESS	2	0	0.31	0.1	0.41
106	SUCCESS	2	1	0.31	0.1	0.41
127	SUCCESS	2	1	0.31	0.1	0.41
176	SUCCESS	2	1	0.31	0.1	0.41
92	SUCCESS	2	2	0.31	0.1	0.41
121	SUCCESS	2	2	0.31	0.1	0.41
189	SUCCESS	2	3	0.31	0.1	0.41
217	SUCCESS	2	283	0.31	0.1	0.41
212	SUCCESS	2	0	0.42	0.1	0.52
102	SUCCESS	2	1	0.42	0.1	0.52
180	SUCCESS	2	1	0.42	0.1	0.52
110	SUCCESS	2	1	0.53	0.1	0.63
197	SUCCESS	2	1	0.53	0.1	0.63
109	SUCCESS	2	7	0.53	0.1	0.63
124	SUCCESS	2	0	0.64	0.1	0.74
188	SUCCESS	2	1	0.64	0.1	0.74
194	SUCCESS	2	2	0.64	0.1	0.74
62	SUCCESS	2	0	0.75	0.1	0.85
137	SUCCESS	2	0	0.75	0.1	0.85
57	SUCCESS	2	0	0.86	0.1	0.96
115	SUCCESS	2	2	0.86	0.1	0.96
126	SUCCESS	2	4	1.17	0.1	1.27
76	SUCCESS	2	3	1.28	0.1	1.38
74	SUCCESS	2	0	1.39	0.1	1.49
104	SUCCESS	2	1	1.39	0.1	1.49
107	SUCCESS	2	1	1.39	0.1	1.49
97	SUCCESS	2	1	1.54	0.1	1.64
175	SUCCESS	2	1	1.76	0.1	1.86
61	SUCCESS	2	1	1.87	0.1	1.97
195	SUCCESS	2	0	2.15	0.1	2.25
150	SUCCESS	2	0	2.63	0.1	2.73
207	SUCCESS	2	0	2.74	0.1	2.84
209	SUCCESS	2	4	2.9	0.1	3
135	SUCCESS	2	1	3.01	0.1	3.11
138	SUCCESS	2	4	3.12	0.1	3.22
136	SUCCESS	2	1	3.39	0.1	3.49
77	SUCCESS	2	1	3.9	0.1	4
117	SUCCESS	2	1	4.45	0.1	4.55
87	SUCCESS	2	0	4.56	0.1	4.66
183	SUCCESS	2	1	4.56	0.1	4.66
146	SUCCESS	2	2	4.67	0.1	4.77
133	SUCCESS	2	0	4.97	0.1	5.07
85	SUCCESS	2	0	5.08	0.1	5.18
198	SUCCESS	2	0	5.08	0.1	5.18
154	SUCCESS	2	2	5.08	0.1	5.18
90	SUCCESS	2	0	5.26	0.1	5.36
111	SUCCESS	2	0	5.55	0.1	5.65
147	SUCCESS	2	2	5.55	0.1	5.65
178	SUCCESS	2	0	5.88	0.1	5.98
200	SUCCESS	2	1	5.99	0.1	6.09
213	SUCCESS	2	3	6.1	0.1	6.2
160	SUCCESS	2	0	6.43	0.1	6.53
151	SUCCESS	2	0	6.54	0.1	6.64
184	SUCCESS	2	0	6.75	0.1	6.85
72	SUCCESS	2	0	6.86	0.1	6.96
173	SUCCESS	2	0	7.09	0.1	7.19
202	SUCCESS	2	2	8.03	0.1	8.13
172	SUCCESS	2	1	9.27	0.1	9.37
89	SUCCESS	2	0	9.38	0.1	9.48
142	SUCCESS	2	2	9.49	0.1	9.59
65	SUCCESS	2	1	9.9	0.1	10
214	SUCCESS	2	0	11.69	0.1	11.79
143	SUCCESS	2	3	11.8	0.1	11.9
187	SUCCESS	2	0	11.99	0.1	12.09
210	SUCCESS	2	1	12.16	0.1	12.26
95	SUCCESS	2	0	12.39	0.1	12.49
141	SUCCESS	2	0	12.99	0.1	13.09
155	SUCCESS	2	0	14.53	0.1	14.63
199	SUCCESS	2	2	15.03	0.1	15.13
93	SUCCESS	2	0	15.16	0.1	15.26
157	SUCCESS	2	2	16.55	0.1	16.65
98	SUCCESS	2	1	16.66	0.1	16.76
80	SUCCESS	2	0	18.35	0.1	18.45
86	SUCCESS	2	0	18.86	0.1	18.96
186	SUCCESS	2	0	20.24	0.1	20.34
159	SUCCESS	2	2	21.3	0.1	21.4
144	SUCCESS	2	0	39.14	0.1	39.24
211	SUCCESS	2	0	39.25	0.1	39.35
59	SUCCESS	2	0	45.62	0.1	45.72
128	SUCCESS	2	0	46.16	0.1	46.26
122	SUCCESS	2	0	46.39	0.1	46.49
140	SUCCESS	2	0	48.66	0.1	48.76
3	SUCCESS	2	0	59.79	0.1	59.89
2	SUCCESS	2	2	69.32	0.1	69.42
1	SUCCESS	2	0	69.9	0.1	70
162	SUCCESS	2	2	72.69	0.1	72.79
5	SUCCESS	2	0	89.33	0.1	89.43
4	SUCCESS	2	4	144.66	0.1	144.76
