Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
124	SUCCESS	2	2	0.11	0.1	0.21
170	SUCCESS	2	2	0.11	0.1	0.21
191	SUCCESS	2	4	0.11	0.1	0.21
180	SUCCESS	2	3	0.22	0.1	0.32
57	SUCCESS	2	4	0.22	0.1	0.32
110	SUCCESS	2	5	0.22	0.1	0.32
190	SUCCESS	2	0	0.33	0.1	0.43
192	SUCCESS	2	0	0.33	0.1	0.43
92	SUCCESS	2	1	0.33	0.1	0.43
217	SUCCESS	2	88	0.33	0.1	0.43
205	SUCCESS	2	0	0.43	0.1	0.53
212	SUCCESS	2	0	0.43	0.1	0.53
106	SUCCESS	2	1	0.43	0.1	0.53
60	SUCCESS	2	0	0.58	0.1	0.68
96	SUCCESS	2	0	0.58	0.1	0.68
163	SUCCESS	2	0	0.58	0.1	0.68
121	SUCCESS	2	0	0.68	0.1	0.78
137	SUCCESS	2	0	0.68	0.1	0.78
175	SUCCESS	2	3	0.68	0.1	0.78
62	SUCCESS	2	0	0.79	0.1	0.89
63	SUCCESS	2	0	0.79	0.1	0.89
176	SUCCESS	2	0	0.79	0.1	0.89
127	SUCCESS	2	0	0.9	0.1	1
197	SUCCESS	2	1	0.9	0.1	1
188	SUCCESS	2	1	1.01	0.1	1.11
85	SUCCESS	2	2	1.01	0.1	1.11
102	SUCCESS	2	0	1.24	0.1	1.34
150	SUCCESS	2	1	1.24	0.1	1.34
90	SUCCESS	2	4	1.24	0.1	1.34
76	SUCCESS	2	6	1.24	0.1	1.34
74	SUCCESS	2	0	1.35	0.1	1.45
194	SUCCESS	2	0	1.35	0.1	1.45
61	SUCCESS	2	4	1.46	0.1	1.56
119	SUCCESS	2	1	1.57	0.1	1.67
186	SUCCESS	2	6	1.57	0.1	1.67
91	SUCCESS	2	0	1.69	0.1	1.79
215	SUCCESS	2	0	1.81	0.1	1.91
115	SUCCESS	2	0	1.92	0.1	2.02
80	SUCCESS	2	5	1.92	0.1	2.02
195	SUCCESS	2	0	2.03	0.1	2.13
135	SUCCESS	2	2	2.14	0.1	2.24
107	SUCCESS	2	1	2.25	0.1	2.35
133	SUCCESS	2	1	2.25	0.1	2.35
154	SUCCESS	2	2	2.36	0.1	2.46
187	SUCCESS	2	2	2.36	0.1	2.46
207	SUCCESS	2	0	2.57	0.1	2.67
155	SUCCESS	2	2	2.68	0.1	2.78
151	SUCCESS	2	1	2.97	0.1	3.07
189	SUCCESS	2	0	3.19	0.1	3.29
138	SUCCESS	2	4	3.32	0.1	3.42
87	SUCCESS	2	0	4.11	0.1	4.21
89	SUCCESS	2	1	4.26	0.1	4.36
104	SUCCESS	2	0	4.37	0.1	4.47
86	SUCCESS	2	4	4.49	0.1	4.59
198	SUCCESS	2	0	4.6	0.1	4.7
199	SUCCESS	2	2	4.82	0.1	4.92
97	SUCCESS	2	0	4.93	0.1	5.03
111	SUCCESS	2	0	5.04	0.1	5.14
144	SUCCESS	2	3	5.04	0.1	5.14
126	SUCCESS	2	0	5.22	0.1	5.32
178	SUCCESS	2	0	5.33	0.1	5.43
214	SUCCESS	2	1	5.44	0.1	5.54
128	SUCCESS	2	2	5.57	0.1	5.67
156	SUCCESS	2	0	5.69	0.1	5.79
160	SUCCESS	2	0	5.8	0.1	5.9
172	SUCCESS	2	3	5.8	0.1	5.9
65	SUCCESS	2	3	6.03	0.1	6.13
184	SUCCESS	2	0	6.14	0.1	6.24
72	SUCCESS	2	0	6.25	0.1	6.35
173	SUCCESS	2	0	6.38	0.1	6.48
183	SUCCESS	2	1	7.99	0.1	8.09
202	SUCCESS	2	1	8.85	0.1	8.95
146	SUCCESS	2	0	9.64	0.1	9.74
136	SUCCESS	2	0	10.38	0.1	10.48
142	SUCCESS	2	1	10.38	0.1	10.48
95	SUCCESS	2	0	11.04	0.1	11.14
98	SUCCESS	2	3	11.21	0.1	11.31
109	SUCCESS	2	0	11.32	0.1	11.42
141	SUCCESS	2	0	11.55	0.1	11.65
147	SUCCESS	2	0	11.66	0.1	11.76
209	SUCCESS	2	0	12.03	0.1	12.13
77	SUCCESS	2	0	12.14	0.1	12.24
200	SUCCESS	2	1	12.25	0.1	12.35
93	SUCCESS	2	0	13.23	0.1	13.33
117	SUCCESS	2	0	14.2	0.1	14.3
211	SUCCESS	2	1	18.68	0.1	18.78
162	SUCCESS	2	5	24.21	0.1	24.31
143	SUCCESS	2	5	24.72	0.1	24.82
157	SUCCESS	2	0	31.66	0.1	31.76
59	SUCCESS	2	0	38.32	0.1	38.42
122	SUCCESS	2	0	38.98	0.1	39.08
140	SUCCESS	2	0	40.98	0.1	41.08
159	SUCCESS	2	0	41.74	0.1	41.84
3	SUCCESS	2	0	49.87	0.1	49.97
210	SUCCESS	2	0	54.85	0.1	54.95
1	SUCCESS	2	0	56.46	0.1	56.56
213	SUCCESS	2	0	56.77	0.1	56.87
5	SUCCESS	2	1	80.09	0.1	80.19
2	SUCCESS	2	1	90.6	0.1	90.7
4	SUCCESS	2	4	145.17	0.1	145.27
